filename : 10, Label: 1, Prediction: [ 0.71398312  0.1409184   0.07684552]
filename : 1005, Label: 29, Prediction: [ 0.53664786  0.29247147  0.04969869]
filename : 1013, Label: 15, Prediction: [ 0.31302097  0.25268173  0.12012987]
filename : 1021, Label: 29, Prediction: [ 0.92440253  0.01216567  0.01136805]
filename : 103, Label: 14, Prediction: [ 0.63253617  0.07960669  0.0536832 ]
filename : 1037, Label: 13, Prediction: [ 0.46453452  0.38864213  0.06003736]
filename : 1048, Label: 23, Prediction: [ 0.4505417   0.26011348  0.14374776]
filename : 1059, Label: 4, Prediction: [ 0.2785297   0.17500283  0.10872393]
filename : 106, Label: 10, Prediction: [ 0.65182745  0.34392926  0.00161439]
filename : 1070, Label: 27, Prediction: [  9.99643922e-01   1.32130546e-04   1.19816163e-04]
filename : 1078, Label: 4, Prediction: [ 0.61996853  0.29607508  0.02652394]
filename : 1086, Label: 14, Prediction: [ 0.45218375  0.370987    0.12054937]
filename : 1093, Label: 8, Prediction: [ 0.68879664  0.1220469   0.08348934]
filename : 1102, Label: 23, Prediction: [ 0.74748993  0.17352483  0.02279806]
filename : 1113, Label: 7, Prediction: [ 0.76408046  0.0702941   0.05233385]
filename : 1122, Label: 16, Prediction: [ 0.58387983  0.1085852   0.09673946]
filename : 1128, Label: 25, Prediction: [ 0.23571758  0.13086107  0.11087402]
filename : 1138, Label: 29, Prediction: [ 0.50579852  0.49088699  0.00100072]
filename : 1145, Label: 14, Prediction: [ 0.23377286  0.21720627  0.2145419 ]
filename : 1154, Label: 28, Prediction: [ 0.44257951  0.27580407  0.11615906]
filename : 1168, Label: 8, Prediction: [ 0.87575054  0.08326491  0.00991399]
filename : 118, Label: 23, Prediction: [ 0.49324641  0.27430522  0.111129  ]
filename : 1187, Label: 13, Prediction: [ 0.31985295  0.29895863  0.22500232]
filename : 1194, Label: 21, Prediction: [ 0.38543844  0.20614302  0.19952187]
filename : 1196, Label: 8, Prediction: [ 0.47630346  0.29602414  0.06199878]
filename : 1202, Label: 13, Prediction: [ 0.98424453  0.00750778  0.00630609]
filename : 1213, Label: 6, Prediction: [ 0.65211809  0.10063871  0.08338465]
filename : 1222, Label: 29, Prediction: [ 0.9818601   0.00488628  0.00397489]
filename : 1230, Label: 6, Prediction: [ 0.29457912  0.23343255  0.15468188]
filename : 124, Label: 3, Prediction: [ 0.27242881  0.2103774   0.17224933]
filename : 1248, Label: 23, Prediction: [ 0.51583141  0.4158653   0.0286362 ]
filename : 1254, Label: 5, Prediction: [ 0.42080066  0.15610977  0.11749807]
filename : 1256, Label: 13, Prediction: [ 0.99153179  0.00402267  0.00144301]
filename : 1262, Label: 25, Prediction: [ 0.73469836  0.1404198   0.0466973 ]
filename : 1271, Label: 29, Prediction: [ 0.14822748  0.13749842  0.13702403]
filename : 1284, Label: 6, Prediction: [ 0.61181098  0.13911459  0.07375213]
filename : 1291, Label: 13, Prediction: [ 0.95610082  0.02525186  0.00938097]
filename : 1309, Label: 11, Prediction: [ 0.50365967  0.41328618  0.0206321 ]
filename : 1316, Label: 21, Prediction: [ 0.9511013   0.0305555   0.00658195]
filename : 1321, Label: 26, Prediction: [ 0.82612193  0.0925649   0.03140838]
filename : 1327, Label: 27, Prediction: [ 0.46749192  0.24832463  0.13611031]
filename : 1340, Label: 16, Prediction: [ 0.46442634  0.27737647  0.12804888]
filename : 1350, Label: 8, Prediction: [ 0.90593904  0.07676332  0.00641493]
filename : 1363, Label: 23, Prediction: [  9.88625288e-01   8.51869583e-03   9.63377999e-04]
filename : 1371, Label: 19, Prediction: [ 0.60123003  0.14704186  0.10392078]
filename : 1379, Label: 19, Prediction: [ 0.60061294  0.13565432  0.08348056]
filename : 1386, Label: 22, Prediction: [ 0.78631949  0.11414725  0.04405355]
filename : 1393, Label: 24, Prediction: [ 0.61457747  0.1475099   0.11099184]
filename : 1396, Label: 13, Prediction: [ 0.55495149  0.42060062  0.01700299]
filename : 1401, Label: 5, Prediction: [ 0.45613676  0.18596804  0.1215695 ]
filename : 141, Label: 20, Prediction: [ 0.50280219  0.23846138  0.11160603]
filename : 1420, Label: 7, Prediction: [ 0.92043608  0.05278431  0.01098719]
filename : 1428, Label: 2, Prediction: [ 0.9864971   0.00429879  0.00415553]
filename : 1436, Label: 10, Prediction: [ 0.6595968   0.27560771  0.01247419]
filename : 1449, Label: 18, Prediction: [ 0.59429443  0.22274548  0.04781825]
filename : 1455, Label: 22, Prediction: [ 0.27738029  0.24550462  0.1817189 ]
filename : 1457, Label: 2, Prediction: [ 0.2763344   0.19185069  0.14699583]
filename : 1466, Label: 3, Prediction: [ 0.28675082  0.22947459  0.17533742]
filename : 1475, Label: 10, Prediction: [ 0.40997884  0.1354174   0.11008252]
filename : 1482, Label: 24, Prediction: [ 0.95029151  0.01865312  0.01498825]
filename : 1491, Label: 16, Prediction: [ 0.34396502  0.21637557  0.16814104]
