filename : 10, Label: 23, Prediction: [ 0.60416305  0.22545815  0.09385873]
filename : 1005, Label: 17, Prediction: [ 0.78396428  0.12539795  0.05908593]
filename : 1013, Label: 19, Prediction: [ 0.3729572   0.18345392  0.14837942]
filename : 1021, Label: 29, Prediction: [ 0.89268708  0.09328046  0.00487349]
filename : 103, Label: 15, Prediction: [ 0.93592751  0.02655469  0.00801504]
filename : 1037, Label: 13, Prediction: [ 0.85795802  0.11607048  0.0110091 ]
filename : 1048, Label: 25, Prediction: [ 0.60546815  0.32100755  0.03846487]
filename : 1059, Label: 1, Prediction: [ 0.39074129  0.14799203  0.1200728 ]
filename : 106, Label: 22, Prediction: [  9.75353956e-01   2.46000122e-02   2.61331406e-05]
filename : 1070, Label: 27, Prediction: [  9.99984026e-01   8.69348423e-06   3.06778111e-06]
filename : 1078, Label: 4, Prediction: [ 0.73904282  0.1458194   0.0728046 ]
filename : 1086, Label: 15, Prediction: [ 0.58003134  0.23417735  0.12094966]
filename : 1093, Label: 8, Prediction: [ 0.37272349  0.15752126  0.15439102]
filename : 1102, Label: 24, Prediction: [  8.41097593e-01   1.58000901e-01   3.55684519e-04]
filename : 1113, Label: 7, Prediction: [ 0.91119707  0.03894396  0.01448214]
filename : 1122, Label: 16, Prediction: [ 0.39170408  0.35877955  0.19689551]
filename : 1128, Label: 22, Prediction: [ 0.47487375  0.37948999  0.06593157]
filename : 1138, Label: 11, Prediction: [  9.99313354e-01   6.76555850e-04   8.22928359e-06]
filename : 1145, Label: 22, Prediction: [ 0.4376066   0.3564032   0.10602845]
filename : 1154, Label: 7, Prediction: [ 0.36022341  0.28606501  0.23818274]
filename : 1168, Label: 8, Prediction: [ 0.93487209  0.03241018  0.01405527]
filename : 118, Label: 24, Prediction: [ 0.76015002  0.23737001  0.00086611]
filename : 1187, Label: 24, Prediction: [ 0.26965594  0.2601822   0.13901764]
filename : 1194, Label: 20, Prediction: [ 0.5022099   0.28126407  0.16784011]
filename : 1196, Label: 13, Prediction: [ 0.98691106  0.00879077  0.00178106]
filename : 1202, Label: 13, Prediction: [ 0.9573167   0.02990467  0.00540703]
filename : 1213, Label: 6, Prediction: [ 0.85901642  0.044891    0.03005454]
filename : 1222, Label: 29, Prediction: [ 0.84594405  0.06696478  0.06300916]
filename : 1230, Label: 20, Prediction: [ 0.38899946  0.184466    0.17179036]
filename : 124, Label: 22, Prediction: [ 0.44980705  0.19944409  0.14998659]
filename : 1248, Label: 25, Prediction: [ 0.85545176  0.14000918  0.00391702]
filename : 1254, Label: 14, Prediction: [ 0.79409784  0.05882338  0.05199883]
filename : 1256, Label: 13, Prediction: [  9.98515308e-01   6.21554849e-04   3.81569436e-04]
