filename : 10, Label: 27, Prediction: [ 0.83508587  0.08461527  0.01643439]
filename : 1005, Label: 29, Prediction: [ 0.67461842  0.17796567  0.05426947]
filename : 1013, Label: 15, Prediction: [ 0.29752478  0.21465731  0.08991873]
filename : 1021, Label: 29, Prediction: [ 0.65359139  0.21052544  0.06542014]
filename : 103, Label: 14, Prediction: [ 0.47310394  0.18245733  0.11950135]
filename : 1037, Label: 13, Prediction: [  7.72451520e-01   2.26068392e-01   4.94804000e-04]
filename : 1048, Label: 4, Prediction: [ 0.82218289  0.09424905  0.02958722]
filename : 1059, Label: 4, Prediction: [ 0.52270019  0.15277845  0.13375191]
filename : 106, Label: 22, Prediction: [ 0.7848295   0.10804593  0.1050409 ]
filename : 1070, Label: 27, Prediction: [  9.99425530e-01   2.11871738e-04   1.70396728e-04]
filename : 1078, Label: 4, Prediction: [ 0.82150376  0.06288193  0.0595148 ]
filename : 1086, Label: 15, Prediction: [ 0.53719872  0.34771186  0.07509603]
filename : 1093, Label: 8, Prediction: [ 0.45364934  0.19471347  0.18781549]
filename : 1102, Label: 24, Prediction: [ 0.71064234  0.27584752  0.0036635 ]
filename : 1113, Label: 7, Prediction: [ 0.91750413  0.02370365  0.01297466]
filename : 1122, Label: 19, Prediction: [ 0.45554015  0.17511241  0.14107689]
filename : 1128, Label: 15, Prediction: [ 0.39581677  0.11943419  0.09821054]
filename : 1138, Label: 11, Prediction: [  9.98474658e-01   1.45766255e-03   4.37957315e-05]
filename : 1145, Label: 14, Prediction: [ 0.96218234  0.01120306  0.00603089]
filename : 1154, Label: 23, Prediction: [ 0.73156261  0.11508776  0.07126121]
filename : 1168, Label: 15, Prediction: [ 0.87996852  0.03909093  0.02037371]
filename : 118, Label: 24, Prediction: [ 0.74648678  0.24851164  0.00103502]
filename : 1187, Label: 13, Prediction: [ 0.42409495  0.25494504  0.24448472]
filename : 1194, Label: 3, Prediction: [ 0.76172841  0.09177712  0.07328473]
filename : 1196, Label: 13, Prediction: [ 0.64586031  0.14278604  0.07123069]
filename : 1202, Label: 13, Prediction: [ 0.58763891  0.31242517  0.08709677]
filename : 1213, Label: 6, Prediction: [ 0.82159144  0.08940401  0.03744506]
filename : 1222, Label: 29, Prediction: [ 0.94876325  0.02944652  0.006476  ]
filename : 1230, Label: 6, Prediction: [ 0.40734434  0.1102419   0.10697893]
filename : 124, Label: 26, Prediction: [ 0.41582111  0.25915077  0.14285879]
filename : 1248, Label: 24, Prediction: [ 0.82401329  0.09403776  0.0377145 ]
filename : 1254, Label: 14, Prediction: [ 0.9061386   0.03769353  0.01733465]
filename : 1256, Label: 13, Prediction: [  9.96775925e-01   2.02595373e-03   7.84986245e-04]
filename : 1262, Label: 19, Prediction: [ 0.63404429  0.32309538  0.01530208]
filename : 1271, Label: 29, Prediction: [ 0.68009281  0.16624224  0.07193962]
