filename : 10, Label: 27, Prediction: [  9.10911262e-01   8.58326033e-02   9.02371597e-04]
filename : 1005, Label: 17, Prediction: [  9.58794057e-01   3.85240689e-02   6.10924559e-04]
filename : 1013, Label: 19, Prediction: [ 0.52833045  0.17549457  0.05827921]
filename : 1021, Label: 11, Prediction: [ 0.86800963  0.12154099  0.00244673]
filename : 103, Label: 14, Prediction: [ 0.78827882  0.05390528  0.02990038]
filename : 1037, Label: 17, Prediction: [ 0.78957599  0.19607675  0.00742527]
filename : 1048, Label: 22, Prediction: [ 0.33849511  0.1762235   0.16620164]
filename : 1059, Label: 24, Prediction: [ 0.94771987  0.00674148  0.00644841]
filename : 106, Label: 22, Prediction: [ 0.68647176  0.29836878  0.00457469]
filename : 1070, Label: 24, Prediction: [ 0.50037915  0.37195846  0.0507559 ]
filename : 1078, Label: 4, Prediction: [ 0.53383267  0.32513228  0.0476694 ]
filename : 1086, Label: 15, Prediction: [ 0.82277143  0.08477044  0.02295103]
filename : 1093, Label: 8, Prediction: [ 0.89209741  0.02515606  0.01826271]
filename : 1102, Label: 23, Prediction: [ 0.83297813  0.06059415  0.04233434]
filename : 1113, Label: 7, Prediction: [ 0.93922573  0.0268354   0.00538481]
filename : 1122, Label: 16, Prediction: [ 0.77155191  0.08152455  0.05875816]
filename : 1128, Label: 9, Prediction: [ 0.66227347  0.18356229  0.0456052 ]
filename : 1138, Label: 23, Prediction: [ 0.44405231  0.25197944  0.2132272 ]
filename : 1145, Label: 14, Prediction: [ 0.41230074  0.18790716  0.07122549]
filename : 1154, Label: 11, Prediction: [ 0.62654781  0.19680472  0.0438842 ]
filename : 1168, Label: 8, Prediction: [ 0.58671159  0.12186611  0.09884967]
filename : 118, Label: 23, Prediction: [ 0.53136742  0.3699649   0.0177544 ]
filename : 1187, Label: 24, Prediction: [ 0.55645746  0.24195634  0.12936461]
filename : 1194, Label: 20, Prediction: [ 0.42707166  0.21321319  0.15436748]
filename : 1196, Label: 13, Prediction: [ 0.89054376  0.06726896  0.02484409]
filename : 1202, Label: 13, Prediction: [ 0.99569148  0.00171188  0.00111714]
filename : 1213, Label: 6, Prediction: [ 0.44787833  0.15738411  0.06922863]
filename : 1222, Label: 29, Prediction: [ 0.76666671  0.20284013  0.01036888]
filename : 1230, Label: 20, Prediction: [ 0.55081886  0.26691028  0.11405136]
filename : 124, Label: 25, Prediction: [ 0.62982661  0.18122722  0.03270238]
filename : 1248, Label: 24, Prediction: [ 0.7303443   0.15150814  0.06215486]
filename : 1254, Label: 25, Prediction: [ 0.39876768  0.26859313  0.0731208 ]
filename : 1256, Label: 13, Prediction: [ 0.98252642  0.0040649   0.00275037]
filename : 1262, Label: 19, Prediction: [ 0.82091415  0.08956366  0.03645463]
filename : 1271, Label: 26, Prediction: [ 0.34671     0.13146573  0.08411655]
filename : 1284, Label: 5, Prediction: [ 0.54365695  0.16022077  0.10023299]
filename : 1291, Label: 13, Prediction: [  9.95400608e-01   3.09143937e-03   4.86222300e-04]
filename : 1309, Label: 26, Prediction: [ 0.38705781  0.22851226  0.18536451]
filename : 1316, Label: 24, Prediction: [ 0.49165946  0.41623479  0.03011882]
filename : 1321, Label: 26, Prediction: [ 0.71410239  0.19072437  0.0305061 ]
filename : 1327, Label: 6, Prediction: [ 0.18583404  0.16136624  0.15575622]
filename : 1340, Label: 14, Prediction: [ 0.92581838  0.03068521  0.02536968]
filename : 1350, Label: 8, Prediction: [ 0.55941665  0.15686747  0.11420097]
filename : 1363, Label: 23, Prediction: [ 0.96773261  0.00578132  0.00544997]
filename : 1371, Label: 19, Prediction: [ 0.5746758   0.13622162  0.09052353]
filename : 1379, Label: 19, Prediction: [ 0.99186969  0.00142461  0.00137328]
filename : 1386, Label: 8, Prediction: [ 0.41598627  0.14604771  0.11802334]
filename : 1393, Label: 24, Prediction: [ 0.99580848  0.00151488  0.00110186]
filename : 1396, Label: 13, Prediction: [ 0.86779308  0.09011222  0.01297799]
filename : 1401, Label: 14, Prediction: [ 0.87823963  0.04025902  0.03607507]
filename : 141, Label: 20, Prediction: [  9.99518633e-01   1.63381250e-04   1.46423423e-04]
filename : 1420, Label: 7, Prediction: [ 0.91388601  0.03737111  0.0245691 ]
filename : 1428, Label: 2, Prediction: [ 0.67788506  0.16830702  0.03925734]
filename : 1436, Label: 29, Prediction: [ 0.18181702  0.17073025  0.14177856]
filename : 1449, Label: 16, Prediction: [ 0.35987034  0.13250437  0.10951876]
filename : 1455, Label: 5, Prediction: [ 0.80688691  0.04941757  0.03018495]
filename : 1457, Label: 14, Prediction: [ 0.27971843  0.23971298  0.07394388]
filename : 1466, Label: 5, Prediction: [ 0.24742861  0.13359974  0.1055683 ]
filename : 1475, Label: 8, Prediction: [ 0.91855431  0.02365619  0.01904469]
filename : 1482, Label: 24, Prediction: [ 0.97479677  0.01604032  0.00586446]
filename : 1491, Label: 29, Prediction: [ 0.5246219   0.34065083  0.04555796]
filename : 1501, Label: 7, Prediction: [ 0.41493708  0.32258138  0.23021501]
filename : 1511, Label: 5, Prediction: [ 0.72300917  0.11880176  0.06460626]
filename : 1521, Label: 13, Prediction: [  9.98584747e-01   5.48704062e-04   5.06326964e-04]
filename : 1526, Label: 5, Prediction: [ 0.7598201   0.15511909  0.02214806]
filename : 1533, Label: 3, Prediction: [ 0.37925601  0.24396357  0.15074016]
filename : 1539, Label: 10, Prediction: [ 0.57165438  0.39220092  0.01031678]
filename : 1548, Label: 9, Prediction: [ 0.73265672  0.09989744  0.0484431 ]
filename : 1561, Label: 27, Prediction: [ 0.99232084  0.00628608  0.00115386]
filename : 157, Label: 18, Prediction: [ 0.69566828  0.12679689  0.07690911]
filename : 1575, Label: 25, Prediction: [ 0.31524473  0.15112095  0.07945459]
filename : 1583, Label: 12, Prediction: [ 0.54277068  0.07886217  0.07372125]
filename : 1585, Label: 7, Prediction: [ 0.40832445  0.39861026  0.11861441]
filename : 1592, Label: 24, Prediction: [ 0.86840361  0.06064579  0.02777095]
filename : 16, Label: 13, Prediction: [ 0.97416979  0.00994397  0.00282706]
filename : 1603, Label: 12, Prediction: [ 0.56906223  0.09335767  0.074993  ]
filename : 1610, Label: 23, Prediction: [ 0.61093205  0.2975311   0.02129607]
filename : 1615, Label: 25, Prediction: [ 0.29891875  0.17413901  0.16290012]
filename : 1622, Label: 3, Prediction: [ 0.52138835  0.25411135  0.11329804]
filename : 163, Label: 8, Prediction: [ 0.69117028  0.1293987   0.10770923]
filename : 1633, Label: 7, Prediction: [  9.95264173e-01   2.22040527e-03   4.40418196e-04]
filename : 164, Label: 13, Prediction: [  9.99451339e-01   1.02682898e-04   9.79819088e-05]
filename : 1645, Label: 26, Prediction: [ 0.97538561  0.00866684  0.00498999]
filename : 1660, Label: 24, Prediction: [ 0.75948822  0.07274348  0.06277588]
filename : 1666, Label: 28, Prediction: [ 0.32027483  0.27445436  0.14352827]
filename : 1672, Label: 19, Prediction: [ 0.53712529  0.23148416  0.10200349]
filename : 168, Label: 2, Prediction: [ 0.62421185  0.10035077  0.08147442]
filename : 1689, Label: 24, Prediction: [ 0.83114767  0.12078778  0.0220167 ]
filename : 1691, Label: 11, Prediction: [ 0.98603445  0.0030229   0.00282749]
filename : 170, Label: 27, Prediction: [  9.96576726e-01   2.20216997e-03   8.48891854e-04]
filename : 1704, Label: 22, Prediction: [ 0.90636063  0.05845288  0.01555021]
filename : 1712, Label: 6, Prediction: [ 0.787907    0.09534281  0.05993287]
filename : 1721, Label: 16, Prediction: [ 0.35708568  0.26561585  0.14784075]
filename : 173, Label: 7, Prediction: [ 0.6154117   0.13280697  0.05988438]
filename : 1740, Label: 2, Prediction: [ 0.68874741  0.11402867  0.0399324 ]
filename : 1754, Label: 17, Prediction: [ 0.54466075  0.10677668  0.0803818 ]
filename : 1759, Label: 6, Prediction: [ 0.20345598  0.16747457  0.14777315]
filename : 1766, Label: 27, Prediction: [ 0.55091125  0.44348282  0.00318659]
filename : 1777, Label: 11, Prediction: [ 0.41520655  0.22044069  0.10382037]
filename : 1784, Label: 3, Prediction: [ 0.89510167  0.05257316  0.01292092]
filename : 1790, Label: 8, Prediction: [ 0.74303246  0.12680015  0.05978417]
filename : 18, Label: 20, Prediction: [ 0.86778295  0.04954884  0.02369554]
filename : 1804, Label: 26, Prediction: [ 0.8225264   0.13528322  0.03355499]
filename : 1815, Label: 23, Prediction: [ 0.28460178  0.2620717   0.20976222]
filename : 1817, Label: 17, Prediction: [ 0.95702583  0.02794636  0.00497458]
filename : 1826, Label: 21, Prediction: [ 0.47189572  0.1849798   0.07128092]
filename : 1834, Label: 26, Prediction: [  9.93199050e-01   5.50662214e-03   4.17711533e-04]
filename : 1842, Label: 13, Prediction: [ 0.34001833  0.16198546  0.16039303]
filename : 1848, Label: 14, Prediction: [ 0.63340324  0.17687763  0.11769442]
filename : 1855, Label: 13, Prediction: [ 0.93261296  0.02394746  0.01052845]
filename : 1864, Label: 5, Prediction: [ 0.96848696  0.01971005  0.00363106]
filename : 1879, Label: 5, Prediction: [ 0.95341861  0.01360003  0.010229  ]
filename : 1881, Label: 7, Prediction: [ 0.38054922  0.19563814  0.14685518]
filename : 1892, Label: 25, Prediction: [ 0.70776194  0.10469358  0.08717983]
filename : 1900, Label: 27, Prediction: [  9.98872340e-01   6.84115919e-04   3.74057505e-04]
filename : 1908, Label: 26, Prediction: [ 0.17179812  0.11807302  0.1172992 ]
filename : 1923, Label: 19, Prediction: [ 0.46311879  0.27296609  0.0580529 ]
filename : 1929, Label: 3, Prediction: [ 0.45075199  0.41604951  0.04130719]
filename : 1939, Label: 10, Prediction: [ 0.42037788  0.17957684  0.06194383]
filename : 1945, Label: 16, Prediction: [ 0.39701742  0.10040951  0.09369055]
filename : 1948, Label: 24, Prediction: [ 0.85668951  0.0708075   0.0613567 ]
filename : 1960, Label: 29, Prediction: [  9.96276557e-01   1.90343731e-03   6.59143087e-04]
filename : 1969, Label: 13, Prediction: [ 0.99366188  0.00265559  0.00112481]
filename : 1979, Label: 19, Prediction: [ 0.81828457  0.04014592  0.0234906 ]
filename : 1988, Label: 13, Prediction: [ 0.73590648  0.13756356  0.03101128]
filename : 1997, Label: 11, Prediction: [ 0.4883545   0.21158321  0.17464016]
filename : 2001, Label: 19, Prediction: [ 0.46010512  0.27367753  0.10511866]
filename : 2013, Label: 22, Prediction: [ 0.82507479  0.10613075  0.02203691]
filename : 2014, Label: 27, Prediction: [ 0.50020087  0.13186355  0.06652229]
filename : 2021, Label: 5, Prediction: [ 0.9668256   0.01615663  0.00671986]
filename : 2029, Label: 22, Prediction: [ 0.80885381  0.09418765  0.04989384]
filename : 2038, Label: 16, Prediction: [ 0.62929219  0.09545773  0.03334965]
filename : 2046, Label: 9, Prediction: [ 0.48612642  0.14839913  0.14123546]
filename : 2054, Label: 7, Prediction: [ 0.89187294  0.02317162  0.02316453]
filename : 2066, Label: 29, Prediction: [ 0.93468684  0.05912149  0.00209707]
filename : 2076, Label: 14, Prediction: [ 0.73320031  0.18263952  0.02050951]
filename : 2078, Label: 3, Prediction: [ 0.61407399  0.11661503  0.0935864 ]
filename : 2091, Label: 19, Prediction: [ 0.31903458  0.18904096  0.17199385]
filename : 21, Label: 18, Prediction: [ 0.41055498  0.36765128  0.05356434]
filename : 2108, Label: 11, Prediction: [ 0.90149623  0.07105943  0.00755139]
filename : 2117, Label: 24, Prediction: [ 0.85770029  0.08471227  0.01332092]
filename : 2131, Label: 7, Prediction: [ 0.42414019  0.29218906  0.20904852]
filename : 2138, Label: 16, Prediction: [ 0.3842406   0.22057997  0.19943525]
filename : 2149, Label: 25, Prediction: [ 0.82795858  0.06146563  0.02443865]
filename : 2151, Label: 19, Prediction: [ 0.84256089  0.05351226  0.0379866 ]
filename : 2158, Label: 22, Prediction: [  9.96744990e-01   1.03997998e-03   8.50354438e-04]
filename : 2167, Label: 7, Prediction: [ 0.66186589  0.09319784  0.06496131]
filename : 2174, Label: 29, Prediction: [ 0.29346758  0.23244266  0.13373339]
filename : 2183, Label: 27, Prediction: [ 0.73342204  0.1251214   0.10180608]
filename : 2191, Label: 13, Prediction: [  9.99566019e-01   3.22744134e-04   4.44588841e-05]
filename : 2197, Label: 21, Prediction: [ 0.32517543  0.22610123  0.15630913]
filename : 2201, Label: 29, Prediction: [ 0.46021229  0.099269    0.06896216]
filename : 2202, Label: 2, Prediction: [  9.90582108e-01   4.58580721e-03   9.53288632e-04]
filename : 221, Label: 8, Prediction: [ 0.69567299  0.16123576  0.0806023 ]
filename : 2218, Label: 10, Prediction: [ 0.38516524  0.26551121  0.1575902 ]
filename : 2228, Label: 19, Prediction: [ 0.5285598   0.19393286  0.08836534]
filename : 2238, Label: 8, Prediction: [ 0.7851221   0.17554198  0.01662928]
filename : 2248, Label: 21, Prediction: [ 0.47476912  0.1513036   0.07681949]
filename : 2256, Label: 26, Prediction: [ 0.87634826  0.03267641  0.03216537]
filename : 2265, Label: 14, Prediction: [ 0.62478757  0.3006323   0.03201502]
filename : 2266, Label: 9, Prediction: [ 0.47449756  0.22514579  0.07781979]
filename : 2278, Label: 14, Prediction: [ 0.46030307  0.25070357  0.10634568]
filename : 2287, Label: 17, Prediction: [  9.91477191e-01   7.54617760e-03   4.56864334e-04]
filename : 2297, Label: 6, Prediction: [ 0.2901226   0.13834928  0.08323217]
filename : 2300, Label: 18, Prediction: [ 0.60229152  0.17604858  0.08960492]
filename : 2312, Label: 25, Prediction: [ 0.76211554  0.10220107  0.02671302]
filename : 2327, Label: 12, Prediction: [ 0.68392307  0.23876619  0.04202758]
filename : 2336, Label: 16, Prediction: [  9.95155454e-01   1.49974984e-03   8.82871624e-04]
filename : 2337, Label: 3, Prediction: [ 0.60823303  0.16199207  0.14239626]
