filename : 10, Label: 27, Prediction: [ 0.8510384   0.14269173  0.00225688]
filename : 1005, Label: 29, Prediction: [ 0.45324373  0.43304542  0.09259526]
filename : 1013, Label: 19, Prediction: [ 0.91582298  0.03398506  0.01341016]
filename : 1021, Label: 29, Prediction: [ 0.93539381  0.04968853  0.00782846]
filename : 103, Label: 15, Prediction: [ 0.88762677  0.06054871  0.02965091]
filename : 1037, Label: 13, Prediction: [ 0.46941113  0.33014682  0.11259116]
filename : 1048, Label: 25, Prediction: [ 0.87110376  0.05247663  0.043642  ]
filename : 1059, Label: 24, Prediction: [ 0.83105791  0.04523126  0.02194611]
filename : 106, Label: 22, Prediction: [  7.78498709e-01   2.20554918e-01   3.29907372e-04]
filename : 1070, Label: 27, Prediction: [  9.99989748e-01   3.96898940e-06   3.06440688e-06]
filename : 1078, Label: 4, Prediction: [ 0.8480016   0.09205949  0.02842071]
filename : 1086, Label: 14, Prediction: [ 0.8869195   0.05295432  0.02969445]
filename : 1093, Label: 8, Prediction: [ 0.63951951  0.18206978  0.09053756]
filename : 1102, Label: 24, Prediction: [  8.54457319e-01   1.45377427e-01   3.82686121e-05]
filename : 1113, Label: 7, Prediction: [ 0.95456266  0.01649463  0.00939765]
filename : 1122, Label: 12, Prediction: [ 0.61653024  0.20499974  0.16788295]
filename : 1128, Label: 22, Prediction: [ 0.27444702  0.26172775  0.21742673]
filename : 1138, Label: 11, Prediction: [  9.97173667e-01   2.81987502e-03   2.95527138e-06]
filename : 1145, Label: 22, Prediction: [ 0.4756884   0.18496166  0.16057374]
filename : 1154, Label: 28, Prediction: [ 0.54196417  0.30654153  0.07293855]
filename : 1168, Label: 8, Prediction: [ 0.96886092  0.00961648  0.00818635]
filename : 118, Label: 24, Prediction: [  8.97501111e-01   1.01565421e-01   3.16743797e-04]
filename : 1187, Label: 22, Prediction: [ 0.41498902  0.19125143  0.15039824]
filename : 1194, Label: 20, Prediction: [ 0.40774372  0.29242828  0.24869855]
filename : 1196, Label: 13, Prediction: [ 0.97701073  0.00950301  0.00722033]
filename : 1202, Label: 13, Prediction: [  9.93388653e-01   5.70922019e-03   4.47610102e-04]
filename : 1213, Label: 6, Prediction: [  9.98214602e-01   6.61311147e-04   5.81083470e-04]
filename : 1222, Label: 29, Prediction: [ 0.91435081  0.02689578  0.02240673]
filename : 1230, Label: 20, Prediction: [ 0.38592726  0.23517165  0.1487499 ]
filename : 124, Label: 22, Prediction: [ 0.42070878  0.1917703   0.16459472]
filename : 1248, Label: 24, Prediction: [ 0.73079139  0.2603952   0.00555317]
filename : 1254, Label: 14, Prediction: [ 0.98107255  0.00563423  0.00316435]
filename : 1256, Label: 13, Prediction: [  9.99380827e-01   4.95977700e-04   4.12324371e-05]
filename : 1262, Label: 19, Prediction: [ 0.70717925  0.28755915  0.00156208]
filename : 1271, Label: 11, Prediction: [ 0.7522229   0.08243623  0.08225065]
filename : 1284, Label: 19, Prediction: [ 0.41351584  0.14354177  0.13382073]
filename : 1291, Label: 13, Prediction: [  9.91458476e-01   8.28726310e-03   1.28784915e-04]
filename : 1309, Label: 11, Prediction: [ 0.97050887  0.01034745  0.00624649]
filename : 1316, Label: 24, Prediction: [ 0.97015375  0.02375303  0.00327483]
filename : 1321, Label: 26, Prediction: [ 0.99113292  0.00320112  0.00270104]
filename : 1327, Label: 8, Prediction: [ 0.51602995  0.12473485  0.12229457]
filename : 1340, Label: 14, Prediction: [ 0.74043781  0.12712425  0.12361104]
filename : 1350, Label: 14, Prediction: [ 0.43911606  0.38320008  0.14395705]
filename : 1363, Label: 24, Prediction: [  7.60984957e-01   2.38207519e-01   1.52387729e-04]
filename : 1371, Label: 12, Prediction: [ 0.52385819  0.2544612   0.12646085]
filename : 1379, Label: 19, Prediction: [ 0.95388407  0.04210383  0.00119553]
filename : 1386, Label: 10, Prediction: [ 0.8143549   0.05763865  0.05251919]
filename : 1393, Label: 24, Prediction: [ 0.82261342  0.08604618  0.05793875]
filename : 1396, Label: 13, Prediction: [ 0.78637022  0.17400451  0.03649996]
filename : 1401, Label: 14, Prediction: [ 0.98959166  0.00704311  0.00109729]
filename : 141, Label: 20, Prediction: [  9.99484062e-01   1.71388019e-04   1.66757978e-04]
filename : 1420, Label: 7, Prediction: [ 0.98978055  0.00497014  0.00422969]
filename : 1428, Label: 2, Prediction: [ 0.98726851  0.00604394  0.00553581]
filename : 1436, Label: 11, Prediction: [ 0.44689095  0.26935315  0.17846327]
filename : 1449, Label: 18, Prediction: [ 0.93235224  0.01485699  0.01457714]
filename : 1455, Label: 22, Prediction: [ 0.72110391  0.23887131  0.0133128 ]
filename : 1457, Label: 2, Prediction: [ 0.99075729  0.00615358  0.00161786]
filename : 1466, Label: 5, Prediction: [ 0.70757723  0.13125004  0.08138639]
filename : 1475, Label: 17, Prediction: [ 0.46594712  0.31008688  0.12992096]
filename : 1482, Label: 24, Prediction: [  9.99541044e-01   4.54626075e-04   1.71218244e-06]
filename : 1491, Label: 29, Prediction: [ 0.81199247  0.02996236  0.02935829]
filename : 1501, Label: 7, Prediction: [ 0.75334847  0.14028133  0.09488811]
filename : 1511, Label: 19, Prediction: [  9.98709202e-01   8.98797938e-04   2.63628928e-04]
filename : 1521, Label: 13, Prediction: [  9.99998927e-01   7.07165043e-07   2.73643735e-07]
filename : 1526, Label: 25, Prediction: [ 0.9752965   0.02241893  0.00160638]
filename : 1533, Label: 6, Prediction: [ 0.72546691  0.20505406  0.02248147]
filename : 1539, Label: 23, Prediction: [ 0.49605632  0.48792762  0.00321367]
filename : 1548, Label: 15, Prediction: [ 0.64183915  0.35183948  0.00273593]
filename : 1561, Label: 27, Prediction: [  1.00000000e+00   2.36751840e-09   2.41410197e-10]
filename : 157, Label: 29, Prediction: [ 0.82838744  0.07278668  0.06286988]
filename : 1575, Label: 6, Prediction: [ 0.4124606   0.361826    0.08071829]
filename : 1583, Label: 12, Prediction: [ 0.46242949  0.4316757   0.03233708]
filename : 1585, Label: 7, Prediction: [ 0.65271729  0.25476864  0.0383834 ]
filename : 1592, Label: 25, Prediction: [ 0.86519605  0.05277488  0.05148992]
filename : 16, Label: 13, Prediction: [  6.24415040e-01   3.75543326e-01   1.62857614e-05]
filename : 1603, Label: 12, Prediction: [ 0.9959709   0.00175033  0.00111644]
filename : 1610, Label: 10, Prediction: [ 0.67820561  0.29855618  0.00598351]
filename : 1615, Label: 18, Prediction: [ 0.39764494  0.16334933  0.14959002]
filename : 1622, Label: 28, Prediction: [ 0.62908518  0.22955276  0.12459013]
filename : 163, Label: 8, Prediction: [ 0.71615475  0.18779542  0.03366196]
filename : 1633, Label: 8, Prediction: [ 0.53661817  0.24680939  0.08556435]
filename : 164, Label: 13, Prediction: [  9.99862790e-01   7.59040850e-05   5.73292964e-05]
filename : 1645, Label: 26, Prediction: [ 0.54138464  0.31591007  0.0714722 ]
filename : 1660, Label: 11, Prediction: [ 0.35020134  0.16298728  0.1539965 ]
filename : 1666, Label: 7, Prediction: [ 0.40452671  0.24328952  0.17874075]
filename : 1672, Label: 10, Prediction: [ 0.96303082  0.02848585  0.00447771]
filename : 168, Label: 4, Prediction: [ 0.86376417  0.07607827  0.02044899]
filename : 1689, Label: 24, Prediction: [  9.99821842e-01   7.89018814e-05   2.88607353e-05]
filename : 1691, Label: 11, Prediction: [ 0.37692562  0.24927366  0.13760175]
filename : 170, Label: 27, Prediction: [  1.00000000e+00   1.10608411e-08   2.71285683e-09]
filename : 1704, Label: 22, Prediction: [ 0.98129636  0.00788214  0.00497024]
filename : 1712, Label: 6, Prediction: [ 0.84743422  0.06301849  0.05530077]
filename : 1721, Label: 16, Prediction: [  7.58962929e-01   2.40211010e-01   3.08632880e-04]
filename : 173, Label: 7, Prediction: [ 0.61216438  0.1852155   0.09434143]
filename : 1740, Label: 2, Prediction: [ 0.53924859  0.38580534  0.02018319]
filename : 1754, Label: 21, Prediction: [ 0.49792895  0.30775815  0.11623862]
filename : 1759, Label: 9, Prediction: [ 0.52104473  0.42539892  0.02471751]
filename : 1766, Label: 27, Prediction: [  9.99998927e-01   1.05680760e-06   2.83469817e-08]
filename : 1777, Label: 1, Prediction: [ 0.88171023  0.10204142  0.00951612]
filename : 1784, Label: 3, Prediction: [  9.73003328e-01   2.35783421e-02   9.04389482e-04]
filename : 1790, Label: 10, Prediction: [ 0.99262542  0.00493859  0.00127551]
filename : 18, Label: 21, Prediction: [ 0.35269153  0.21771522  0.13682024]
filename : 1804, Label: 26, Prediction: [  9.99836922e-01   6.46478438e-05   5.22373084e-05]
filename : 1815, Label: 25, Prediction: [ 0.51557082  0.41655403  0.03694695]
filename : 1817, Label: 17, Prediction: [ 0.99086821  0.00459494  0.00361781]
filename : 1826, Label: 21, Prediction: [ 0.35034651  0.1887909   0.14529748]
filename : 1834, Label: 26, Prediction: [  9.99994278e-01   4.28437170e-06   6.68454220e-07]
filename : 1842, Label: 13, Prediction: [ 0.38498658  0.37637055  0.11921307]
filename : 1848, Label: 14, Prediction: [  9.99547660e-01   1.59151721e-04   8.05861273e-05]
filename : 1855, Label: 13, Prediction: [  9.98459458e-01   1.25949853e-03   1.26731873e-04]
filename : 1864, Label: 5, Prediction: [ 0.99319565  0.00252036  0.00239074]
filename : 1879, Label: 5, Prediction: [ 0.53373504  0.3185364   0.13648379]
filename : 1881, Label: 7, Prediction: [ 0.54999638  0.21711348  0.12527533]
filename : 1892, Label: 26, Prediction: [ 0.34179702  0.32643804  0.17403591]
filename : 1900, Label: 27, Prediction: [  1.00000000e+00   3.24649907e-09   1.27592648e-09]
filename : 1908, Label: 11, Prediction: [ 0.51966161  0.37897515  0.04112083]
filename : 1923, Label: 19, Prediction: [ 0.96391356  0.0108804   0.00686871]
filename : 1929, Label: 14, Prediction: [ 0.63176179  0.19403173  0.07278388]
filename : 1939, Label: 5, Prediction: [  9.95017707e-01   4.02639667e-03   2.72254314e-04]
filename : 1945, Label: 24, Prediction: [ 0.4610962   0.15427832  0.09950338]
filename : 1948, Label: 24, Prediction: [ 0.79780161  0.1792566   0.01266074]
filename : 1960, Label: 29, Prediction: [ 0.80401009  0.18817754  0.00175451]
filename : 1969, Label: 13, Prediction: [  9.53979075e-01   4.36348878e-02   8.14710569e-04]
filename : 1979, Label: 19, Prediction: [ 0.55131471  0.29001716  0.06983169]
filename : 1988, Label: 20, Prediction: [ 0.58982652  0.40820947  0.00061795]
filename : 1997, Label: 11, Prediction: [ 0.89947921  0.02439723  0.02360831]
filename : 2001, Label: 12, Prediction: [ 0.62590575  0.30851257  0.01822785]
filename : 2013, Label: 22, Prediction: [ 0.97127825  0.01015418  0.00922564]
filename : 2014, Label: 16, Prediction: [ 0.51654989  0.21075311  0.18652777]
filename : 2021, Label: 5, Prediction: [ 0.94247955  0.02890337  0.02567063]
filename : 2029, Label: 10, Prediction: [ 0.9035188   0.07615411  0.00721759]
filename : 2038, Label: 24, Prediction: [ 0.89622539  0.067178    0.0124314 ]
filename : 2046, Label: 9, Prediction: [ 0.62710351  0.22169119  0.10218231]
filename : 2054, Label: 24, Prediction: [ 0.3495467   0.18207242  0.16185287]
filename : 2066, Label: 29, Prediction: [  9.63085890e-01   3.60489115e-02   1.94647771e-04]
filename : 2076, Label: 14, Prediction: [ 0.75002581  0.22147797  0.01902283]
filename : 2078, Label: 8, Prediction: [ 0.33491689  0.17413953  0.17264929]
filename : 2091, Label: 15, Prediction: [ 0.46875149  0.30313081  0.16808178]
filename : 21, Label: 21, Prediction: [ 0.49932131  0.46743545  0.02618796]
filename : 2108, Label: 11, Prediction: [ 0.79479343  0.04977814  0.03900632]
filename : 2117, Label: 11, Prediction: [ 0.74779791  0.06048224  0.0603314 ]
filename : 2131, Label: 14, Prediction: [ 0.97529095  0.02108144  0.0027815 ]
filename : 2138, Label: 14, Prediction: [ 0.69527429  0.27292916  0.02864372]
filename : 2149, Label: 25, Prediction: [ 0.96624857  0.01138813  0.01027432]
filename : 2151, Label: 19, Prediction: [ 0.96574181  0.01518336  0.0106498 ]
filename : 2158, Label: 22, Prediction: [  9.99973774e-01   1.23959944e-05   6.22867628e-06]
filename : 2167, Label: 16, Prediction: [ 0.52301842  0.17974001  0.07649072]
filename : 2174, Label: 11, Prediction: [ 0.93094701  0.04628993  0.0172404 ]
filename : 2183, Label: 29, Prediction: [ 0.97907776  0.01487088  0.00431622]
filename : 2191, Label: 13, Prediction: [  9.99999046e-01   7.52033600e-07   1.20490029e-07]
filename : 2197, Label: 1, Prediction: [ 0.72804874  0.19601782  0.04578314]
filename : 2201, Label: 11, Prediction: [ 0.85515791  0.14254354  0.00096472]
filename : 2202, Label: 4, Prediction: [ 0.80615503  0.14187537  0.03935338]
filename : 221, Label: 10, Prediction: [ 0.51672357  0.33876088  0.13887261]
filename : 2218, Label: 10, Prediction: [ 0.59484541  0.08841158  0.0854983 ]
filename : 2228, Label: 22, Prediction: [ 0.80703169  0.13161738  0.03552187]
filename : 2238, Label: 8, Prediction: [  9.99514222e-01   2.28109566e-04   1.68881204e-04]
filename : 2248, Label: 6, Prediction: [ 0.56901836  0.12707832  0.12019969]
filename : 2256, Label: 26, Prediction: [ 0.92227322  0.04865984  0.01409555]
filename : 2265, Label: 14, Prediction: [ 0.65688425  0.31840718  0.01357347]
filename : 2266, Label: 9, Prediction: [  9.97895360e-01   6.56216522e-04   6.30625989e-04]
filename : 2278, Label: 15, Prediction: [ 0.75594205  0.24247868  0.00097768]
filename : 2287, Label: 17, Prediction: [  9.99317646e-01   6.08839269e-04   6.54495889e-05]
filename : 2297, Label: 26, Prediction: [ 0.31656036  0.30139557  0.21559945]
filename : 2300, Label: 18, Prediction: [  9.88715947e-01   1.01960609e-02   4.33634530e-04]
filename : 2312, Label: 11, Prediction: [ 0.7835353   0.08250636  0.0506767 ]
filename : 2327, Label: 12, Prediction: [ 0.89706689  0.04992037  0.02579147]
filename : 2336, Label: 16, Prediction: [  9.99468029e-01   4.55084752e-04   4.73021937e-05]
filename : 2337, Label: 14, Prediction: [ 0.86871165  0.09654155  0.01183499]
filename : 2344, Label: 2, Prediction: [ 0.46384001  0.14765359  0.12922336]
